12 FRAME COLUMNS													AVERAGE		PBAG CHANCE		FRAMES PAST		SECONDS ELAPSED
165	82	169	84	42	149	74	165	210	233	244	122		144.92		0.4317		12		0.2
189	222	239	119	187	93	46	151	75	165	210	105		150.08		0.4114		24		0.4
180	218	237	246	123	61	30	15	135	195	97	48		132.08		0.482		36		0.6
152	204	102	51	25	140	198	227	241	120	60	158		139.83		0.4516		48		0.8
79	167	211	105	180	90	173	86	43	21	138	69		113.5		0.5549		60		1.0
34	145	200	100	178	89	44	150	203	101	50	153		120.58		0.5271		72		1.2
76	166	211	233	244	250	253	254	255	255	127	63		198.92		0.2199		84		1.4
159	207	103	179	89	172	214	107	53	154	77	166		140.0		0.451		96		1.6
83	169	84	170	85	42	21	10	5	130	193	96		90.67		0.6444		108		1.8
176	88	172	86	43	149	202	229	114	185	92	46		131.83		0.483		120		2.0
23	11	133	194	225	240	120	60	158	79	39	147		119.08		0.533		132		2.2
73	36	18	137	68	162	81	168	212	106	181	218		121.67		0.5229		144		2.4
237	118	59	157	78	167	83	169	212	106	53	154		132.75		0.4794		156		2.6
205	230	115	57	28	14	7	131	65	32	144	200		102.33		0.5987		168		2.8
100	50	25	140	198	227	241	120	60	30	15	135		111.75		0.5618		180		3.0
195	97	176	88	44	22	11	5	130	65	32	16		73.42		0.7121		192		3.2
8	4	130	65	32	144	72	36	18	137	68	162		73.0		0.7137		204		3.4
209	104	52	26	141	198	227	241	248	124	62	159		149.25		0.4147		216		3.6
79	167	83	41	20	10	133	194	97	176	216	236		121.0		0.5255		228		3.8
118	187	93	46	23	139	197	98	177	216	236	118		137.33		0.4614		240		4.0
59	29	142	199	99	177	88	44	150	75	165	210		119.75		0.5304		252		4.2
105	180	90	173	86	43	21	10	5	2	129	192		86.33		0.6614		264		4.4
96	176	216	108	182	219	109	54	155	205	102	179		150.08		0.4114		276		4.6
217	236	246	251	125	190	223	111	55	155	205	230		187.0		0.2667		288		4.8
115	185	220	238	119	59	29	14	7	3	129	64		98.5		0.6137		300		5.0
160	208	232	116	186	93	174	215	235	245	122	189		181.25		0.2892		312		5.2
94	47	151	75	37	146	201	228	114	57	156	206		126.0		0.5059		324		5.4
103	179	89	44	22	11	133	66	33	144	200	100		93.67		0.6327		336		5.6
50	25	140	70	35	145	72	36	18	9	4	2		50.5		0.802		348		5.8
1	128	64	32	16	136	68	34	17	8	4	2		42.5		0.8333		360		6.0
129	64	32	16	136	68	34	145	200	100	50	153		93.92		0.6317		372		6.2
76	38	147	73	36	18	137	196	98	177	216	236		120.67		0.5268		384		6.4
118	187	93	46	151	75	165	82	169	212	234	245		148.08		0.4193		396		6.6
250	125	190	223	111	183	219	109	54	27	141	198		152.5		0.402		408		6.8
99	49	152	204	102	51	25	12	134	67	161	80		94.67		0.6288		420		7.0
40	148	202	229	114	57	156	78	167	211	233	244		156.58		0.3859		432		7.2
122	61	30	143	71	35	17	8	4	130	193	224		86.5		0.6608		444		7.4
240	248	252	126	191	223	111	183	219	237	118	187		194.58		0.2369		456		7.6
93	174	87	43	21	138	197	226	113	56	156	206		125.83		0.5065		468		7.8
103	179	89	44	150	203	229	114	57	156	206	231		146.75		0.4245		480		8.0
243	121	188	94	47	151	203	101	178	89	44	22		123.42		0.516		492		8.2
